ipv,ips,iaa,ieg,nº_av,ida,defasagem
7.5,5.0,9.0,10.0,3.0,6.0,0
8.167,7.5,9.5,9.1,3.0,7.5,0
7.556,7.5,10.0,9.5,3.0,6.5,-1
8.056,5.0,0.0,9.4,3.0,9.1,-1
8.167,7.5,9.0,9.3,3.0,8.6,-1
8.167,7.5,10.0,9.9,3.0,8.0,-2
7.5,7.5,8.5,10.0,3.0,6.5,0
6.944,7.5,0.0,6.2,3.0,4.0,-1
6.556,5.0,8.5,8.9,3.0,5.2,-2
9.056,7.5,10.0,9.0,3.0,8.9,-1
8.167,7.5,9.5,9.8,3.0,7.8,-1
7.167,7.5,9.5,9.7,3.0,5.5,0
7.333,5.6,8.5,8.8,3.0,6.0,-1
7.333,7.5,9.0,7.4,3.0,7.1,-2
6.917,7.5,9.0,9.2,2.0,5.1,-1
7.75,5.6,9.5,8.9,2.0,6.0,-1
7.167,4.4,9.5,9.0,2.0,4.8,-1
5.583,5.6,8.5,7.5,2.0,6.8,-2
8.417,6.9,8.5,9.3,2.0,7.5,-1
7.5,5.6,8.5,9.5,2.0,7.0,-1
5.0,6.9,10.0,7.8,2.0,2.5,-3
7.417,6.3,8.0,9.8,2.0,6.5,-1
7.167,4.4,8.5,9.8,2.0,6.5,-1
6.0,5.6,9.5,9.7,2.0,3.3,-1
7.5,7.5,9.5,6.6,2.0,5.5,-2
7.917,5.0,9.0,7.9,2.0,5.6,-1
8.833,5.0,9.5,9.7,2.0,7.6,-1
7.583,6.9,8.0,9.1,2.0,7.2,-2
6.167,6.9,10.0,7.9,2.0,4.2,-1
6.25,6.9,9.0,9.0,2.0,1.9,-2
7.333,6.9,8.5,7.3,2.0,6.6,-2
7.167,5.0,9.5,8.8,2.0,5.5,-1
8.167,6.9,9.5,6.9,2.0,3.3,-1
5.75,6.9,7.9,6.0,2.0,4.0,-2
5.167,5.0,9.5,8.1,2.0,4.4,-2
8.25,5.0,9.0,8.8,2.0,6.4,-1
9.333,7.5,10.0,8.4,2.0,9.4,-1
4.5,5.0,9.0,8.5,2.0,4.3,-3
8.083,7.5,9.5,9.2,2.0,7.1,-1
3.75,5.0,6.9,7.2,2.0,3.8,-1
8.833,7.5,9.0,9.0,2.0,7.4,-1
8.75,7.5,8.0,9.0,2.0,8.0,-1
8.833,7.5,10.0,9.2,2.0,8.5,-1
6.833,5.0,9.5,3.8,2.0,2.3,-2
5.917,7.5,9.0,4.1,2.0,2.9,-2
7.917,7.5,9.5,8.4,2.0,8.5,-2
6.833,7.5,9.5,6.0,2.0,4.8,-1
7.944,6.9,8.0,8.6,3.0,8.3,-3
7.333,5.0,9.5,8.7,3.0,6.8,-2
6.778,7.5,9.0,7.0,3.0,1.3,-1
6.944,7.5,8.5,8.8,3.0,3.7,-1
6.833,7.5,8.5,8.0,3.0,6.8,0
8.944,7.5,9.5,9.9,3.0,8.2,-1
6.944,5.0,9.5,7.2,3.0,7.5,-1
7.0,7.5,8.0,6.1,3.0,2.8,-2
7.111,7.5,9.5,9.1,3.0,7.8,-1
7.111,7.5,9.5,9.3,3.0,9.0,-1
9.611,8.8,9.5,10.0,3.0,9.5,-1
7.222,7.5,8.5,5.8,3.0,3.8,-1
7.167,7.5,8.0,9.6,3.0,7.6,-1
5.889,7.5,7.5,8.9,3.0,5.0,-1
7.222,7.5,10.0,9.0,3.0,4.9,-1
7.333,7.5,8.5,9.4,3.0,7.1,-2
7.333,7.5,8.0,8.5,3.0,4.6,-1
6.889,7.5,8.5,9.1,3.0,5.0,0
8.778,5.6,10.0,9.6,3.0,8.2,-1
6.167,7.5,9.5,9.3,3.0,3.8,-1
8.278,5.6,9.5,10.0,3.0,9.3,0
7.056,7.5,9.5,9.4,3.0,5.8,0
7.611,7.5,8.5,8.6,3.0,7.4,-1
7.389,7.5,9.5,9.3,3.0,7.1,-1
7.778,5.6,8.0,8.5,3.0,8.4,-1
6.278,7.5,7.5,7.4,3.0,4.6,-1
6.889,7.5,8.0,9.4,3.0,7.8,-1
6.0,7.5,8.5,5.5,3.0,1.0,-2
9.0,7.5,9.5,10.0,3.0,9.3,0
7.056,7.5,9.0,10.0,3.0,8.0,0
6.944,7.5,9.5,7.2,3.0,3.7,-1
8.556,7.5,9.5,9.2,3.0,9.1,-1
6.833,7.5,8.5,8.4,3.0,3.9,0
7.167,7.5,9.0,9.7,3.0,5.7,1
7.667,7.5,10.0,9.7,3.0,8.6,-1
8.0,7.5,9.0,9.5,3.0,7.5,-1
8.333,7.5,9.0,9.0,3.0,8.8,-1
7.556,6.9,6.9,9.3,3.0,7.1,-2
6.111,7.5,9.5,9.0,3.0,1.8,-1
7.444,7.5,6.8,8.1,3.0,4.0,-1
7.222,7.5,7.8,9.6,3.0,6.3,-1
7.056,7.5,8.5,7.6,3.0,6.0,-1
8.5,7.5,9.0,9.6,3.0,6.5,0
7.556,7.5,9.5,7.6,3.0,9.5,-2
7.167,7.5,9.0,9.2,3.0,7.9,-1
8.556,7.5,9.0,9.2,3.0,9.2,-2
8.278,7.5,9.5,9.7,3.0,9.6,-2
6.889,7.5,9.5,9.7,3.0,7.3,0
7.278,7.5,7.4,7.4,3.0,8.8,-2
6.778,7.5,8.5,8.9,3.0,6.3,-1
7.333,7.5,8.9,8.3,3.0,6.7,-2
7.333,7.5,9.5,8.0,3.0,9.0,-1
6.833,7.5,0.0,7.5,3.0,6.8,-2
8.222,7.5,9.5,7.7,3.0,7.5,-1
6.0,7.5,3.5,3.8,3.0,3.8,-2
7.389,7.5,7.5,9.0,3.0,8.3,-2
7.722,7.5,9.0,8.9,3.0,6.8,-1
7.333,7.5,8.0,9.2,3.0,7.8,-1
7.278,7.5,7.4,7.6,3.0,1.3,-1
7.0,7.5,7.0,6.7,3.0,6.5,-1
7.333,7.5,9.5,7.6,3.0,9.2,-1
7.278,7.5,9.0,10.0,3.0,7.0,0
7.278,7.5,9.5,9.2,3.0,7.3,0
7.222,7.5,8.5,6.8,3.0,7.0,-2
6.722,6.9,8.5,9.3,3.0,6.3,-1
7.833,7.5,7.3,8.9,3.0,7.7,-1
8.222,7.5,9.5,9.4,3.0,6.5,-1
6.444,6.9,10.0,4.9,3.0,1.5,-1
7.389,6.9,8.5,8.0,3.0,7.3,-1
7.0,7.5,8.5,9.0,3.0,5.8,-1
6.278,7.5,8.5,9.3,3.0,3.9,0
6.611,7.5,8.5,7.4,3.0,5.5,-1
6.778,7.5,9.0,8.4,3.0,4.8,-1
6.778,7.5,9.0,9.3,3.0,6.5,0
7.778,6.9,10.0,9.7,3.0,7.3,-1
6.722,7.5,9.0,8.0,3.0,6.2,-1
8.278,7.5,9.5,8.0,3.0,8.8,-1
6.833,7.5,8.5,8.1,3.0,2.0,-1
8.389,8.1,8.5,9.8,3.0,8.4,-2
7.278,7.5,9.5,8.6,3.0,3.3,-1
7.5,6.9,9.0,7.5,3.0,5.3,-2
7.611,5.6,8.5,8.9,3.0,7.4,-2
7.5,5.6,6.9,8.7,3.0,6.9,-1
8.333,7.5,8.5,9.3,3.0,7.8,-1
7.5,7.5,8.0,9.6,3.0,7.8,0
7.5,7.5,9.5,9.6,3.0,9.3,-1
7.556,7.5,8.5,8.6,3.0,6.8,-2
8.389,7.5,7.5,9.2,3.0,8.3,-2
7.5,5.6,7.4,7.5,3.0,6.3,-1
7.5,7.5,9.5,9.8,3.0,9.0,-2
7.917,7.5,10.0,9.3,2.0,5.6,-1
8.333,7.5,8.0,7.8,2.0,9.3,-1
9.083,7.5,9.5,9.0,2.0,6.9,0
7.917,7.5,9.0,8.3,2.0,7.8,-1
6.083,7.5,9.0,8.8,2.0,6.8,-1
5.25,7.5,6.9,8.7,2.0,5.8,-1
7.167,7.5,9.5,8.8,2.0,6.3,-1
7.25,7.5,9.0,7.4,2.0,6.8,-1
8.833,7.5,9.5,9.1,2.0,7.8,-1
5.833,7.5,8.5,5.6,2.0,4.5,-1
3.75,7.5,6.9,3.3,2.0,2.8,-1
7.833,7.5,9.0,9.7,2.0,6.0,-1
8.167,7.5,8.0,8.8,2.0,6.9,-1
7.417,8.1,8.5,8.2,2.0,8.8,-1
6.75,8.1,8.5,8.5,2.0,8.8,-1
8.583,8.1,8.5,9.2,2.0,9.2,0
6.333,8.1,9.5,8.7,2.0,8.0,0
7.083,8.1,10.0,6.6,2.0,7.4,0
8.167,8.1,8.5,8.6,2.0,9.3,-1
8.583,7.5,10.0,9.4,2.0,7.3,0
9.5,6.9,9.0,10.0,2.0,7.3,-1
7.833,7.5,9.0,8.2,2.0,6.3,-2
7.75,7.5,9.5,8.8,2.0,7.4,-2
8.0,6.9,8.5,8.5,2.0,6.5,-2
8.083,7.5,9.5,9.1,2.0,7.0,-2
8.083,7.5,7.9,5.0,2.0,4.0,-2
7.917,8.1,9.5,7.5,2.0,9.3,0
7.833,5.0,9.0,6.2,2.0,8.0,-1
8.083,8.1,7.5,8.6,2.0,8.8,-1
8.0,8.1,8.5,9.0,2.0,8.3,-1
7.917,7.5,8.5,9.7,2.0,7.9,-1
6.667,5.6,7.4,7.9,2.0,5.8,-1
7.417,7.5,9.5,9.5,2.0,7.0,-1
7.917,8.1,10.0,9.2,2.0,9.4,0
7.917,8.1,9.5,8.9,2.0,6.9,-1
7.667,8.1,9.5,9.8,2.0,5.7,0
7.917,8.1,10.0,9.0,2.0,8.1,0
2.5,7.5,9.0,3.1,2.0,2.5,0
8.167,7.5,8.5,9.0,2.0,6.6,-1
8.083,7.5,7.0,9.3,2.0,8.4,-2
8.083,2.5,9.0,9.8,2.0,8.1,-1
6.0,7.5,5.2,9.2,2.0,7.1,-1
7.083,7.5,9.0,8.7,2.0,9.2,-1
7.417,7.5,9.0,9.3,2.0,8.7,-2
7.0,5.0,10.0,8.6,2.0,6.8,0
6.833,5.0,7.5,7.4,2.0,5.1,-2
6.583,5.0,9.0,8.6,2.0,7.2,-2
6.333,7.5,9.5,6.2,2.0,7.1,-2
8.417,7.5,9.5,6.7,2.0,9.1,-2
8.083,6.9,10.0,8.1,2.0,8.5,-2
7.583,7.5,8.0,8.4,2.0,7.3,-1
7.083,7.5,9.5,3.5,2.0,2.3,-2
8.0,5.0,9.5,8.9,2.0,6.9,-2
6.0,6.3,9.0,7.9,2.0,3.5,-1
5.833,5.0,8.0,5.1,2.0,8.0,-2
7.25,7.5,10.0,8.7,2.0,7.8,-1
7.25,5.6,9.0,6.9,2.0,8.0,-2
7.917,4.4,8.5,8.7,2.0,4.9,-1
5.417,7.5,8.9,8.1,2.0,6.7,-1
7.917,7.5,9.0,7.3,2.0,5.4,-2
7.417,6.3,8.0,8.9,2.0,9.2,0
6.083,7.5,9.0,4.6,2.0,4.2,-2
7.083,7.5,8.0,5.9,2.0,7.6,-1
7.917,7.5,9.5,8.1,2.0,7.6,0
8.333,4.4,10.0,8.1,2.0,8.1,-1
8.167,8.1,10.0,6.6,2.0,5.5,0
8.0,5.6,9.5,5.9,2.0,5.6,0
5.5,8.1,8.0,5.9,2.0,5.0,0
6.583,7.5,10.0,7.5,2.0,4.4,0
6.75,8.1,9.0,7.7,2.0,8.4,0
8.167,8.1,9.5,7.3,2.0,9.1,0
7.25,8.1,10.0,8.7,2.0,8.1,0
8.25,8.8,10.0,8.2,2.0,8.3,-2
7.083,6.9,9.0,8.5,2.0,7.3,-2
7.5,8.8,9.0,7.9,2.0,7.2,-1
6.917,5.6,9.5,8.5,2.0,5.1,-1
7.417,5.6,9.5,7.2,2.0,7.3,-2
8.583,5.6,9.0,9.0,2.0,7.3,-2
7.0,5.6,9.0,8.5,2.0,5.4,-2
9.167,5.6,9.5,9.2,2.0,9.0,-1
7.5,5.6,8.5,8.1,2.0,5.7,0
7.083,5.6,6.4,7.3,2.0,5.9,0
7.5,5.6,8.5,9.0,2.0,7.2,-1
7.417,5.6,9.5,8.4,2.0,6.3,-2
7.5,5.0,8.5,8.7,2.0,7.3,-1
7.5,5.6,10.0,7.9,2.0,4.8,-1
7.5,5.6,9.5,9.7,2.0,6.2,0
7.75,5.6,9.0,8.5,2.0,8.1,-1
7.417,5.6,8.0,9.1,2.0,7.2,0
7.917,7.5,10.0,7.6,2.0,8.8,-2
8.25,7.5,10.0,9.0,2.0,9.1,-1
7.25,7.5,9.5,7.7,2.0,8.8,-1
5.167,4.4,9.5,8.9,2.0,6.8,-2
6.167,7.5,8.5,5.8,2.0,3.8,-2
8.417,7.5,10.0,9.0,2.0,9.5,-2
8.417,7.5,9.5,8.6,2.0,9.1,0
6.917,4.4,10.0,5.8,2.0,7.9,-1
8.083,6.9,9.5,9.2,2.0,9.5,0
7.25,7.5,10.0,7.9,2.0,5.7,-1
8.5,7.5,9.5,9.3,2.0,9.7,-1
8.333,7.5,9.0,9.1,2.0,8.1,-1
7.833,7.5,9.0,8.6,2.0,7.5,-2
8.917,7.5,9.0,9.2,2.0,8.8,-2
8.25,7.5,10.0,9.4,2.0,8.2,-1
7.083,7.5,10.0,9.7,2.0,6.7,-3
7.167,7.5,9.5,9.7,2.0,6.5,-2
7.667,7.5,9.0,8.8,2.0,7.5,0
7.417,7.5,8.5,9.3,2.0,4.3,-1
8.333,7.5,10.0,9.5,2.0,8.7,-2
7.583,7.5,9.5,9.0,2.0,7.0,-2
7.583,7.5,9.0,10.0,2.0,7.1,-2
8.5,7.5,10.0,7.5,2.0,7.9,-1
7.333,7.5,9.5,8.9,2.0,8.3,0
7.5,7.5,10.0,8.3,2.0,7.0,0
7.25,7.5,9.0,5.4,2.0,9.2,-2
7.083,5.0,10.0,6.8,2.0,8.1,-1
7.417,7.5,10.0,7.8,2.0,6.1,0
6.417,4.4,7.9,5.7,2.0,5.7,-2
6.333,4.4,0.0,4.3,2.0,1.7,-1
7.0,7.5,8.0,7.7,2.0,5.3,0
8.833,7.5,10.0,6.7,2.0,7.1,-1
7.083,7.5,9.5,5.0,2.0,2.6,-2
7.167,7.5,8.0,7.6,2.0,6.9,-1
7.75,7.5,10.0,8.9,2.0,8.3,-1
7.0,7.5,9.5,8.4,2.0,6.0,0
6.917,7.5,9.5,5.8,2.0,6.0,0
9.25,7.5,9.5,10.0,2.0,8.2,-1
7.667,7.5,9.0,8.6,2.0,8.4,-1
7.167,5.6,9.0,9.5,2.0,6.1,-2
7.25,7.5,8.5,9.5,2.0,3.4,0
8.667,5.6,10.0,9.3,2.0,8.0,0
7.417,7.5,9.0,9.4,2.0,4.2,0
7.417,7.5,9.0,8.9,2.0,7.8,-2
8.5,7.5,9.5,8.7,2.0,6.5,-2
7.167,7.5,9.5,8.0,2.0,6.2,-1
7.333,7.5,9.5,7.6,2.0,6.0,-2
7.333,7.5,9.5,8.9,2.0,4.1,0
7.333,7.5,9.0,9.7,2.0,7.3,0
7.667,7.5,9.5,9.3,2.0,5.4,-2
7.5,7.5,9.0,8.5,2.0,7.3,-2
7.667,7.5,8.0,8.3,2.0,6.3,-2
7.917,7.5,8.0,9.6,2.0,7.8,-2
7.5,7.5,8.0,5.4,2.0,6.1,0
7.5,7.5,7.0,6.6,2.0,6.8,-1
8.333,7.5,9.0,9.0,2.0,8.3,-1
7.417,7.5,10.0,7.2,2.0,6.3,-2
7.667,6.3,10.0,8.4,2.0,4.8,-2
7.333,7.5,9.5,9.0,2.0,8.8,0
7.917,7.5,9.5,7.3,2.0,6.6,0
7.5,6.3,9.5,8.7,2.0,9.0,0
8.0,6.3,10.0,9.1,2.0,9.3,0
7.417,6.3,10.0,6.6,2.0,6.3,0
7.25,5.0,8.5,9.1,2.0,9.6,0
7.667,5.6,8.9,5.7,2.0,7.3,-1
7.333,5.6,9.0,8.1,2.0,7.4,0
7.417,6.9,9.5,6.5,2.0,6.0,0
8.417,6.9,8.9,9.0,2.0,7.5,-1
7.0,5.6,10.0,7.9,2.0,6.5,-1
9.417,7.5,10.0,9.3,2.0,9.6,-1
7.417,6.3,10.0,8.7,2.0,7.1,0
7.5,7.5,9.5,7.3,2.0,6.2,0
7.333,7.5,10.0,7.9,2.0,7.3,0
7.583,6.9,9.5,10.0,2.0,6.0,-1
6.917,7.5,9.0,7.0,2.0,4.6,-2
7.083,7.5,8.0,8.4,2.0,6.1,-2
7.167,7.5,10.0,6.0,2.0,2.8,-2
7.333,6.9,10.0,4.4,2.0,6.0,0
7.917,6.9,7.5,8.2,2.0,7.6,-1
7.5,7.5,9.5,9.6,2.0,5.4,0
8.667,7.5,9.5,7.0,2.0,7.6,-2
7.833,7.5,9.5,7.1,2.0,6.9,-1
7.5,7.5,9.0,8.6,2.0,7.8,0
7.5,7.5,10.0,8.6,2.0,6.0,-1
7.167,7.5,9.5,9.2,2.0,7.2,-1
8.833,7.5,10.0,9.2,2.0,8.8,-1
7.583,7.5,10.0,9.5,2.0,7.8,-1
9.083,7.5,9.0,9.0,2.0,9.0,-1
6.667,7.5,6.9,7.3,2.0,7.5,0
7.583,7.5,8.5,8.3,2.0,9.2,-1
7.5,7.5,8.5,9.0,2.0,8.8,0
9.417,7.5,10.0,7.4,2.0,6.3,-1
6.583,7.5,0.0,5.1,2.0,5.4,-1
7.5,7.5,9.0,8.2,2.0,7.8,0
7.5,7.5,8.5,8.5,2.0,7.2,-2
8.25,7.5,7.5,8.3,2.0,9.1,0
8.417,7.5,8.5,9.0,2.0,9.2,0
8.333,8.1,0.0,5.0,2.0,5.9,0
8.417,7.5,10.0,8.8,2.0,8.7,0
7.917,7.5,9.0,7.2,2.0,5.9,0
7.417,4.4,7.9,8.2,2.0,7.7,-1
7.833,7.5,9.5,7.0,2.0,9.0,-1
7.417,7.5,8.5,8.3,2.0,9.1,-1
7.167,7.5,10.0,7.3,2.0,8.5,0
6.583,7.5,9.0,7.9,2.0,8.3,0
5.5,5.0,9.0,6.8,2.0,2.1,0
8.5,7.5,10.0,9.6,2.0,8.5,0
7.167,7.5,8.0,9.0,2.0,9.3,0
9.0,7.5,10.0,9.6,2.0,9.7,-1
8.0,7.5,10.0,9.1,2.0,8.4,0
9.083,7.5,8.5,8.9,2.0,9.5,-1
7.333,5.6,10.0,7.1,2.0,7.7,0
8.25,7.5,8.5,8.7,2.0,8.9,0
7.75,7.5,9.5,8.5,2.0,8.1,0
8.92,8.13,9.5,10.0,2.0,9.6,0
8.585,8.14,8.5,9.1,2.0,8.9,-1
6.26,3.14,0.0,7.6,2.0,6.3,0
8.5,8.14,0.0,7.6,2.0,6.3,0
7.915,7.52,8.5,8.7,2.0,7.4,0
8.415,8.76,0.0,8.3,2.0,8.6,0
8.415,8.76,9.0,8.6,2.0,8.9,0
8.67,8.76,10.0,9.5,2.0,7.1,0
8.75,8.76,9.0,10.0,2.0,9.6,0
5.165,8.76,0.0,8.5,2.0,1.5,-1
6.84,3.76,9.0,9.5,2.0,6.9,-1
8.5,2.52,0.0,6.7,2.0,4.3,-2
8.67,7.52,8.5,9.7,2.0,7.0,-2
6.67,7.52,0.0,8.2,2.0,4.8,-1
9.845,7.52,9.5,9.5,2.0,7.3,-1
8.835,7.52,10.0,9.4,2.0,7.5,0
7.5,7.52,9.5,9.5,2.0,6.9,-1
7.34,2.52,0.0,9.5,2.0,8.1,-2
8.915,2.52,0.0,9.8,2.0,8.2,-1
8.585,2.52,0.0,9.4,2.0,6.3,0
6.25,7.52,10.0,8.9,2.0,7.3,0
4.16,2.52,9.0,8.6,2.0,4.7,0
8.17,6.89,9.5,9.7,2.0,8.4,0
8.66,4.39,9.0,9.7,2.0,8.8,0
8.665,7.52,9.0,9.8,2.0,8.7,0
9.0,7.52,8.5,9.4,2.0,8.1,0
9.09,7.52,8.9,8.9,2.0,8.4,0
8.83,7.52,9.0,10.0,2.0,8.8,0
9.0,6.89,8.5,9.5,2.0,9.1,0
8.16,2.52,0.0,9.1,2.0,8.3,0
7.995,6.89,9.5,9.5,2.0,7.5,-1
5.84,7.52,9.0,8.1,2.0,6.5,0
10.01,6.89,8.0,9.6,2.0,8.3,0
9.01,7.52,8.5,9.0,2.0,8.5,-1
10.01,7.52,9.5,10.0,2.0,9.3,-1
10.01,7.52,9.5,9.9,2.0,9.4,-1
10.01,6.89,9.0,9.8,2.0,9.1,-2
9.5,7.52,9.5,9.5,2.0,6.8,0
10.01,6.89,9.5,10.0,2.0,8.5,0
10.01,6.89,10.0,9.4,2.0,8.5,0
8.34,7.52,10.0,8.0,2.0,8.3,0
6.265,6.26,0.0,7.9,2.0,7.3,-1
3.32,7.52,0.0,8.1,2.0,6.5,-1
8.01,3.77,9.0,8.5,2.0,7.9,-1
10.01,3.77,9.0,9.8,2.0,9.4,-1
9.34,3.77,10.0,9.8,2.0,9.5,0
8.67,9.38,9.0,9.8,2.0,7.8,0
8.67,3.77,9.5,8.2,2.0,6.0,0
8.595,3.77,8.5,8.7,2.0,7.5,-2
9.01,3.77,0.0,9.1,2.0,7.1,-2
8.18,3.77,0.0,7.8,2.0,8.3,-2
6.5,2.52,10.0,9.3,2.0,3.9,-3
9.01,5.02,10.0,9.6,2.0,7.8,0
6.01,2.52,8.4,7.5,2.0,6.6,-1
5.84,2.52,7.9,9.1,2.0,7.6,-2
7.836666667,7.52,9.0,9.3,2.0,6.4,0
7.946666667,3.77,0.0,8.1,2.0,9.3,0
7.056666667,7.52,9.5,9.4,2.0,8.3,-1
7.833333333,5.63,10.0,10.0,2.0,9.3,-1
8.113333333,7.52,9.5,9.0,2.0,8.4,-1
6.95,7.52,7.5,9.2,2.0,8.6,0
8.336666667,7.52,9.5,9.6,2.0,9.3,0
8.223333333,7.52,9.0,9.0,2.0,7.9,0
8.056666667,7.52,10.0,9.9,2.0,9.2,-2
8.28,7.52,0.0,9.8,2.0,9.2,-1
8.17,7.52,0.0,8.8,2.0,8.9,0
5.68,3.14,7.9,8.3,2.0,7.8,-2
8.085,6.27,9.5,9.6,2.0,6.7,-2
7.01,2.52,9.0,6.7,2.0,3.4,-2
8.34,6.89,7.0,9.8,2.0,7.4,0
9.34,2.52,9.5,8.8,2.0,8.0,-1
8.25,7.52,9.0,8.3,2.0,7.6,-1
8.925,7.52,0.0,8.7,2.0,9.1,-2
7.175,7.52,7.0,9.4,2.0,6.3,-1
8.08,4.39,9.0,7.8,2.0,7.3,-2
8.59,4.38,9.5,9.0,2.0,8.2,-1
9.84,7.52,0.0,7.2,2.0,6.9,-2
6.59,7.52,10.0,7.9,2.0,4.9,-2
9.245,6.89,8.0,8.5,2.0,7.9,-2
8.17,7.52,10.0,6.1,2.0,6.0,0
8.67,7.52,10.0,9.2,2.0,8.7,0
8.67,7.52,10.0,8.4,2.0,8.4,0
9.005,2.52,9.5,9.7,2.0,6.6,-1
6.35,2.52,0.0,7.2,2.0,7.0,0
7.01,2.52,10.0,8.7,2.0,7.7,0
8.09,7.52,0.0,8.4,2.0,5.3,-1
6.35,7.52,9.0,6.3,2.0,6.1,0
6.68,7.52,9.0,9.7,2.0,6.3,0
10.01,3.14,8.5,9.7,2.0,8.4,0
7.675,3.14,0.0,9.5,2.0,5.4,-2
5.925,2.52,8.5,8.4,2.0,7.1,-2
10.01,7.52,9.5,9.9,2.0,7.3,0
10.01,7.52,0.0,7.6,2.0,7.5,-2
5.93,7.52,9.0,5.6,2.0,5.0,0
5.595,7.52,9.0,8.9,2.0,5.4,0
9.84,3.77,10.0,9.5,2.0,7.4,-1
8.01,3.77,0.0,9.5,2.0,6.0,0
9.84,7.52,9.5,9.7,2.0,7.8,-1
7.68,3.77,9.5,9.9,2.0,7.2,-2
8.255,7.52,0.0,9.6,2.0,7.3,0
6.43,2.52,7.9,9.5,2.0,6.4,-2
10.01,7.52,8.0,9.2,2.0,7.3,0
6.265,3.14,10.0,9.9,2.0,6.1,-2
7.095,4.39,9.5,6.9,2.0,5.1,-2
7.095,7.52,9.5,5.3,2.0,5.9,-2
9.51,3.77,9.0,10.0,2.0,6.8,-1
9.255,3.77,9.0,9.7,2.0,6.4,-1
9.67,7.52,8.5,10.0,2.0,9.8,0
9.67,7.52,8.5,9.8,2.0,8.8,0
9.0,7.52,9.0,8.8,2.0,9.0,0
7.6,2.52,8.5,8.2,2.0,7.8,0
9.0,7.52,9.5,7.9,2.0,7.5,0
9.67,7.52,9.0,8.4,2.0,7.7,0
9.67,7.52,9.0,9.6,2.0,8.7,0
9.67,7.52,0.0,9.8,2.0,9.4,-1
8.915,7.52,9.0,10.0,2.0,6.5,0
9.67,7.52,9.5,9.6,2.0,9.2,0
6.59,7.52,10.0,8.7,2.0,6.1,-2
7.5,7.52,8.5,8.4,2.0,4.2,-1
10.01,7.52,9.0,10.0,2.0,5.4,-2
10.01,7.52,0.0,9.5,2.0,7.9,0
9.085,7.52,9.0,7.7,2.0,7.2,-2
7.02,2.52,9.0,8.4,2.0,6.3,-2
8.175,7.52,8.0,10.0,2.0,5.0,0
7.0,2.52,9.5,8.9,2.0,7.1,-2
9.925,7.52,9.5,9.4,2.0,8.0,0
9.345,2.52,8.5,9.8,2.0,7.5,-1
10.01,7.52,10.0,9.1,2.0,7.9,-2
10.01,7.52,9.0,9.2,2.0,6.2,-1
10.01,7.52,9.0,9.6,2.0,8.2,-1
6.67,7.52,9.0,7.6,2.0,7.5,-1
6.84,7.52,8.5,9.2,2.0,7.9,0
7.0,7.52,9.5,9.4,2.0,9.3,0
6.67,2.52,9.5,6.1,2.0,5.6,-2
5.08,7.52,9.0,7.9,2.0,3.3,0
8.34,7.52,9.0,7.6,2.0,0.0,0
6.5,7.52,9.5,8.1,2.0,8.9,0
8.17,7.52,9.0,10.0,2.0,9.3,0
7.67,2.52,10.0,7.5,2.0,7.9,-1
9.09,7.52,9.5,9.7,2.0,8.4,0
8.675,3.77,10.0,9.3,2.0,8.0,-2
8.425,3.77,9.5,9.2,2.0,9.0,0
8.34,3.77,10.0,10.0,2.0,7.3,-1
7.09,3.14,7.4,8.8,2.0,8.3,0
8.005,3.14,0.0,8.3,2.0,7.7,0
8.675,3.14,9.5,8.8,2.0,8.3,-2
7.09,3.14,9.0,8.8,2.0,7.8,-2
8.59,3.77,8.0,9.4,2.0,8.3,-1
7.925,3.77,9.5,6.8,2.0,8.9,-1
6.34,3.14,0.0,9.5,2.0,6.9,-1
10.01,7.52,9.5,9.7,2.0,9.1,-2
8.425,7.52,10.0,9.0,2.0,7.3,-1
9.345,7.52,8.0,7.5,2.0,7.8,-2
8.34,7.52,9.0,9.8,2.0,5.9,-1
9.925,7.52,10.0,9.3,2.0,9.1,0
9.925,7.52,9.0,9.9,2.0,9.0,-1
9.84,7.52,10.0,9.8,2.0,9.3,0
10.01,7.52,10.0,9.5,2.0,9.2,-1
9.0,3.14,0.0,9.2,2.0,7.9,-2
10.01,7.52,9.0,9.6,2.0,9.3,-2
8.84,7.52,10.0,9.6,2.0,7.7,0
5.85,7.52,8.5,10.0,2.0,6.3,-2
8.665,2.52,0.0,8.7,2.0,6.2,-1
10.01,7.52,9.0,9.2,2.0,8.7,-1
7.175,7.52,0.0,9.1,2.0,6.8,-1
7.095,6.27,8.5,8.3,2.0,7.8,-1
8.08,7.52,9.5,9.1,2.0,8.0,-1
10.01,7.52,9.5,9.8,2.0,8.5,-1
8.5,7.52,8.5,9.4,2.0,7.2,-1
7.18,6.27,8.5,8.2,2.0,4.7,-1
7.675,7.52,10.0,10.0,2.0,5.0,-1
7.35,7.52,9.5,8.0,2.0,6.5,-2
10.01,7.52,9.0,9.7,2.0,8.3,-1
8.33,7.52,9.5,9.1,2.0,5.8,0
7.51,7.52,8.5,9.7,2.0,5.5,0
9.84,7.52,8.5,8.1,2.0,9.4,0
8.17,3.77,7.8,6.4,2.0,6.9,0
7.84,3.77,9.0,9.1,2.0,6.0,0
7.415,3.77,0.0,8.6,2.0,5.2,-1
9.34,3.77,9.0,9.1,2.0,8.8,0
7.67,7.52,7.9,9.2,2.0,6.5,0
8.34,6.27,9.5,9.2,2.0,8.6,0
8.085,5.02,8.5,7.4,2.0,5.8,0
