mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1410066127777099,0.050864594102371576,0.0065215110778808595,0.0006998036433401713,0.8,0.01,3,1,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",0.676595744680851,0.6638297872340425,0.6936170212765957,0.7319148936170212,0.6595744680851063,0.6851063829787234,0.026231548948804154,293
1.0600841522216797,0.09334541268382862,0.006746149063110352,0.0009029408698830778,0.8,0.01,3,1,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",0.6638297872340425,0.6468085106382979,0.6936170212765957,0.7404255319148936,0.6553191489361702,0.6799999999999999,0.034085079820426856,306
0.3739777565002441,0.4234171720661788,0.004499053955078125,0.0013200055826193238,0.8,0.01,3,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.7021276595744681,0.6723404255319149,0.6978723404255319,0.7276595744680852,0.6510638297872341,0.6902127659574468,0.026286715253583837,286
0.04051837921142578,0.00787153266578182,0.004778814315795898,0.0010922295051502225,0.8,0.01,3,1,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",0.6978723404255319,0.6723404255319149,0.6680851063829787,0.723404255319149,0.6638297872340425,0.6851063829787234,0.022517032434592296,293
0.09028162956237792,0.016922905094093756,0.006856679916381836,0.0006858545787996296,0.8,0.01,3,1,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.8}",0.7148936170212766,0.6680851063829787,0.6851063829787234,0.7191489361702128,0.676595744680851,0.6927659574468086,0.02056688676356526,278
0.07534618377685547,0.008927420094835367,0.0069425106048583984,0.0006170104789509359,0.8,0.01,3,1,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 1.0}",0.7106382978723405,0.6808510638297872,0.6851063829787234,0.7319148936170212,0.6936170212765957,0.7004255319148937,0.018762049093658376,259
0.03556041717529297,0.0031084350406808273,0.005895185470581055,0.0010142689233447913,0.8,0.01,3,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8}",0.6680851063829787,0.6553191489361702,0.6595744680851063,0.7276595744680852,0.6553191489361702,0.6731914893617021,0.027630098860847573,318
0.0296506404876709,0.005341723368676746,0.004833030700683594,0.0008640771709221624,0.8,0.01,3,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",0.6680851063829787,0.625531914893617,0.6851063829787234,0.7361702127659574,0.6595744680851063,0.6748936170212766,0.036267703408787245,315
0.06580619812011719,0.026844502620773904,0.007346200942993164,0.0048701228208737095,0.8,0.01,3,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.6936170212765957,0.6595744680851063,0.6723404255319149,0.7063829787234043,0.6553191489361702,0.6774468085106382,0.019666757460921464,313
0.07770748138427734,0.011939190936961806,0.01111297607421875,0.00622383146824532,0.8,0.01,3,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",0.6893617021276596,0.6638297872340425,0.676595744680851,0.723404255319149,0.6510638297872341,0.6808510638297872,0.024812561254660862,304
0.10271368026733399,0.030247995295603687,0.007332277297973633,0.0034762239754143973,0.8,0.01,3,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 0.8}",0.7063829787234043,0.6680851063829787,0.6723404255319149,0.7106382978723405,0.6851063829787234,0.6885106382978723,0.017316587190958157,289
0.09432640075683593,0.014031703664982784,0.005570411682128906,0.0005742915560059005,0.8,0.01,3,3,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 300, 'subsample': 1.0}",0.7021276595744681,0.6851063829787234,0.676595744680851,0.723404255319149,0.676595744680851,0.6927659574468085,0.01793302766443022,280
0.046239614486694336,0.017132469659733935,0.004483413696289062,0.0008603573704363094,0.8,0.01,3,5,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 100, 'subsample': 0.8}",0.6510638297872341,0.6382978723404256,0.6680851063829787,0.7148936170212766,0.6382978723404256,0.6621276595744681,0.028558232741383003,322
