number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_recall_std,state
18,0.8382978723404255,2026-02-05 23:06:04.360096,2026-02-05 23:06:04.639044,0 days 00:00:00.278948,0.8567696352548534,0.003630416715954196,0.21623470239935283,4,10,472,0.1988601536779836,0.5198983996216158,0.601411953133355,0.014241021728239604,COMPLETE
19,0.7838297872340425,2026-02-05 23:06:04.978774,2026-02-05 23:06:05.239732,0 days 00:00:00.260958,0.9548564398401693,0.15599990586427023,0.03910891361220486,6,8,405,0.6427654544859114,0.04335709592335846,0.8851188301403033,0.01689313467342914,COMPLETE
20,0.8791489361702128,2026-02-05 23:06:05.581696,2026-02-05 23:06:05.773840,0 days 00:00:00.192144,0.8595970772247415,0.0693849697152994,0.2961731536915935,3,5,451,0.40424367053218124,0.9938427850497087,0.7662237798289577,0.011606963146370908,COMPLETE
21,0.8834042553191489,2026-02-05 23:06:06.127224,2026-02-05 23:06:06.331108,0 days 00:00:00.203884,0.8623659733565988,0.06425076482832652,0.25342484757924216,3,5,453,0.4002933655794753,0.7090197191657357,0.7707061221366315,0.006914075237988009,COMPLETE
22,0.8697872340425532,2026-02-05 23:06:06.669729,2026-02-05 23:06:06.875807,0 days 00:00:00.206078,0.863145635368178,0.051987654996403135,0.29965011122125396,4,4,445,0.35223655075162075,0.9703798049018051,0.7690298678707416,0.01028344338178263,COMPLETE
23,0.8714893617021277,2026-02-05 23:06:07.207979,2026-02-05 23:06:07.484790,0 days 00:00:00.276811,0.8758693917115727,0.04408252736311336,0.15037869989100083,4,4,451,0.2032799723491176,0.9548235119964874,0.7711359045159822,0.01966675746092142,COMPLETE
24,0.8459574468085107,2026-02-05 23:06:07.836085,2026-02-05 23:06:08.143122,0 days 00:00:00.307037,0.9017511018096213,0.06242232048506184,0.15133777399854595,4,5,396,0.19800701401024506,0.988894308325982,0.7413712376260588,0.013828150475976122,COMPLETE
25,0.8740425531914893,2026-02-05 23:06:08.547057,2026-02-05 23:06:08.746017,0 days 00:00:00.198960,0.9487829070843585,0.0629220165048407,0.19620460653644076,3,3,461,0.17467332761565296,0.7511169031613045,0.7170909856723898,0.016720751237777425,COMPLETE
26,0.8646808510638297,2026-02-05 23:06:09.118647,2026-02-05 23:06:09.304764,0 days 00:00:00.186117,0.9586037750142943,0.002107906687637856,0.20621763651297262,3,3,325,0.0253285952789023,0.7306171006433202,0.7293278138260172,0.009851776087481057,COMPLETE
27,0.8246808510638297,2026-02-05 23:06:09.661290,2026-02-05 23:06:09.836676,0 days 00:00:00.175386,0.9455681489643667,0.07045417115981031,0.08530575179169793,3,3,412,0.13894099098085688,0.7627248019180434,0.6970295609038116,0.0203900400863165,COMPLETE
28,0.8561702127659574,2026-02-05 23:06:10.307306,2026-02-05 23:06:10.575320,0 days 00:00:00.268014,0.9861554090348986,0.21179854383508512,0.12755686680152764,6,3,466,0.29085603071261573,0.620028988898593,0.7929697709905026,0.009086875108111767,COMPLETE
