Model,Recall,Precision,F1,ROC-AUC,PR-AUC
RandomForest,0.8174603174603174,0.673202614379085,0.7383512544802867,0.6783673469387755,0.7389647329356772
XGBoost,0.8134920634920635,0.7620817843866171,0.7869481765834933,0.7893197278911566,0.8259122419261364
LightGBM,0.7896825396825397,0.7425373134328358,0.7653846153846153,0.7782086167800454,0.818560096256529
XGBoost (Tuned),0.8253968253968254,0.7969348659003831,0.8109161793372319,0.8441043083900226,0.8679520122087281
XGBoost (Optuna),0.9126984126984127,0.8679245283018868,0.8897485493230174,0.9164172335600906,0.9222265299411198
